date,amount,category,description
2023-01-20,-1089,clothing,Clothing purchase
2022-10-25,4318,healthcare,Medical expenses
2023-02-19,-1970,transportation,Public transportation fare
2022-08-05,2507,income,salary
2023-04-25,-2944,transportation,Gasoline expenses
2023-05-22,2663,income,Trade Market
2022-06-15,-3430,entertainment,Movie tickets
2022-07-16,-1706,entertainment,Movie tickets
2022-07-21,4760,income,Rent
2023-01-18,-2328,education,Online course payment
2023-04-22,2103,healthcare,Healthcare services
2023-02-16,1465,bills,Phone bill
2022-12-22,575,clothing,Fashion accessories
2022-09-22,730,clothing,Clothing purchase
2023-01-21,4860,bills,Phone bill
2023-02-22,-4992,clothing,Fashion accessories
2023-01-03,-2042,education,Online course payment
2023-02-25,3399,entertainment,Movie tickets
2022-07-01,4966,income,Rent
2022-10-03,602,education,Books and materials
2023-02-14,2933,bills,Phone bill
2022-09-19,-4379,entertainment,Movie tickets
2023-03-13,-2180,entertainment,Concert tickets
2023-03-04,-1332,education,Books and materials
2023-05-14,-2600,clothing,Shoe shopping
2022-09-26,-92,bills,Phone bill
2023-01-28,-789,entertainment,Amusement park visit
2022-08-29,-651,transportation,Gasoline expenses
2022-11-02,3983,income,Rent
2022-12-19,-1927,transportation,Public transportation fare
2022-05-25,55,transportation,Gasoline expenses
2023-02-17,-3029,income,Rent
2023-01-14,-1316,income,Trade Market
2022-10-03,2740,transportation,Taxi ride
2023-02-03,-3445,healthcare,Healthcare services
2023-05-17,1197,clothing,Fashion accessories
2022-09-20,4269,education,Tuition fees
2022-10-13,-956,entertainment,Amusement park visit
2022-08-28,-1586,healthcare,Pharmacy purchase
2022-10-17,-1735,entertainment,Movie tickets
2023-05-17,3086,healthcare,Medical expenses
2023-03-15,-3646,income,Trade Market
2022-07-17,1728,entertainment,Concert tickets
2023-03-27,-818,entertainment,Concert tickets
2023-04-28,146,groceries,Food expenses
2023-03-06,2940,education,Online course payment
2022-12-23,2562,groceries,Supermarket purchase
2023-05-18,4155,bills,Utility bill payment
2022-10-16,-812,transportation,Public transportation fare
2023-05-06,2632,transportation,Public transportation fare
2022-10-02,-451,clothing,Fashion accessories
2022-12-14,-1216,bills,Internet bill
2022-12-19,-2302,groceries,Supermarket purchase
2023-02-25,-2941,clothing,Shoe shopping
2023-04-23,-3077,clothing,Fashion accessories
2022-07-13,-160,clothing,Fashion accessories
2022-08-31,-3515,bills,Phone bill
2023-01-16,4623,healthcare,Healthcare services
2022-07-21,3715,healthcare,Healthcare services
2023-04-02,-2468,entertainment,Movie tickets
2022-12-26,661,groceries,Grocery shopping
2023-05-14,-1110,clothing,Clothing purchase
2023-02-28,-2418,education,Online course payment
2023-02-25,-4940,healthcare,Healthcare services
2023-02-21,3923,education,Online course payment
2022-11-02,4817,bills,Internet bill
2022-10-26,3963,transportation,Public transportation fare
2022-09-21,1559,healthcare,Pharmacy purchase
2022-07-17,1341,clothing,Shoe shopping
2023-05-03,-2171,clothing,Fashion accessories
2022-11-26,1932,income,salary
2022-11-10,1626,transportation,Gasoline expenses
2022-07-11,2196,healthcare,Pharmacy purchase
2023-05-22,-1219,income,Rent
2023-02-19,397,clothing,Fashion accessories
2023-03-12,2032,income,Trade Market
2023-05-22,788,clothing,Fashion accessories
2023-01-15,-4564,transportation,Gasoline expenses
2023-01-28,-1389,education,Online course payment
2022-11-22,-2623,income,Rent
2022-09-15,-4376,entertainment,Movie tickets
2022-07-07,363,entertainment,Concert tickets
2023-03-02,1108,income,salary
2022-10-08,381,education,Online course payment
2022-08-18,-2321,groceries,Grocery shopping
2023-01-03,-1846,transportation,Gasoline expenses
2022-11-02,-3621,clothing,Shoe shopping
2022-07-18,2112,groceries,Food expenses
2023-04-04,-2944,groceries,Food expenses
2022-09-30,941,transportation,Public transportation fare
2022-12-21,-2553,transportation,Taxi ride
2022-10-31,-4452,bills,Phone bill
2022-07-25,-4024,income,salary
2023-02-01,2455,transportation,Taxi ride
2022-07-04,-2014,healthcare,Healthcare services
2023-02-24,1769,income,Rent
2023-02-16,2494,entertainment,Movie tickets
2022-07-09,-4667,entertainment,Amusement park visit
2023-01-24,-1200,transportation,Public transportation fare
2022-08-27,-225,entertainment,Movie tickets
2023-01-13,-942,healthcare,Pharmacy purchase
2022-06-29,494,income,Rent
2022-12-30,3601,entertainment,Concert tickets
2023-01-03,-63,groceries,Supermarket purchase
2022-06-03,1844,entertainment,Concert tickets
2023-04-14,-1076,education,Tuition fees
2022-09-07,916,entertainment,Concert tickets
2023-05-12,3391,groceries,Food expenses
2022-06-01,-2490,entertainment,Concert tickets
2022-12-29,-2923,healthcare,Medical expenses
2022-10-09,-3404,clothing,Fashion accessories
2023-05-02,4853,clothing,Clothing purchase
2022-06-27,4941,transportation,Taxi ride
2023-01-17,-1136,education,Tuition fees
2022-06-08,-3259,income,Rent
2022-09-03,2870,groceries,Supermarket purchase
2022-06-24,-3946,transportation,Taxi ride
2022-12-31,554,bills,Phone bill
2023-03-26,-1271,clothing,Fashion accessories
2022-09-11,1315,clothing,Fashion accessories
2022-09-26,-3977,entertainment,Amusement park visit
2022-06-26,4800,education,Online course payment
2023-01-02,1093,income,salary
2022-06-25,2307,bills,Internet bill
2022-06-05,-4350,transportation,Gasoline expenses
2022-11-10,-2721,clothing,Clothing purchase
2023-05-24,-1314,groceries,Supermarket purchase
2023-05-01,-597,entertainment,Concert tickets
2022-11-02,1713,entertainment,Amusement park visit
2023-04-22,-4603,income,salary
2023-04-24,-510,healthcare,Medical expenses
2022-08-20,-3802,entertainment,Movie tickets
2023-01-17,4985,bills,Phone bill
2022-07-04,2754,clothing,Clothing purchase
2022-08-23,-2685,clothing,Clothing purchase
2023-01-07,-1404,bills,Internet bill
2022-08-26,3313,clothing,Fashion accessories
2023-02-25,-3844,income,Trade Market
2023-02-13,2203,bills,Phone bill
2022-07-02,-793,bills,Phone bill
2023-02-05,2049,income,salary
2022-08-08,-375,education,Books and materials
2023-05-14,3773,income,Rent
2022-11-04,-4377,groceries,Grocery shopping
2022-10-03,2455,clothing,Clothing purchase
2022-12-04,46,bills,Utility bill payment
2022-05-31,3167,clothing,Fashion accessories
2022-11-07,3620,income,Rent
2023-04-03,313,income,salary
2022-09-16,2286,education,Online course payment
2023-02-28,4328,healthcare,Healthcare services
2022-11-24,-4132,healthcare,Healthcare services
2022-06-03,153,transportation,Gasoline expenses
2022-11-14,-2745,healthcare,Healthcare services
2022-08-03,-2204,education,Books and materials
2022-06-27,1135,clothing,Shoe shopping
2022-09-27,-4942,education,Books and materials
2022-11-03,-1657,income,Trade Market
2022-06-23,-3673,transportation,Gasoline expenses
2022-10-24,-2731,education,Books and materials
2022-10-04,3790,healthcare,Healthcare services
2022-09-15,-2199,education,Books and materials
2022-09-17,4302,healthcare,Medical expenses
2023-03-14,-903,transportation,Public transportation fare
2023-01-07,1211,transportation,Gasoline expenses
2023-04-05,406,income,Trade Market
2023-05-18,2088,groceries,Food expenses
2022-08-05,3823,education,Tuition fees
2022-06-03,2417,bills,Utility bill payment
2022-06-17,-40,entertainment,Concert tickets
2022-12-02,3216,education,Tuition fees
2022-06-20,1827,income,Rent
2022-12-23,-559,clothing,Shoe shopping
2023-03-18,481,transportation,Public transportation fare
2023-05-06,-1587,education,Online course payment
2023-05-06,2315,clothing,Clothing purchase
2022-11-26,-1211,clothing,Shoe shopping
2023-04-20,2752,entertainment,Amusement park visit
2022-11-17,-4224,entertainment,Movie tickets
2022-06-17,-2100,clothing,Shoe shopping
2023-01-07,-1559,transportation,Public transportation fare
2022-12-20,-2578,clothing,Fashion accessories
2023-03-07,-2050,healthcare,Medical expenses
2022-09-18,4246,bills,Phone bill
2022-12-14,-648,bills,Utility bill payment
2022-10-19,1779,clothing,Shoe shopping
2022-06-08,1429,clothing,Shoe shopping
2022-06-17,1096,transportation,Taxi ride
2022-08-26,-1566,healthcare,Medical expenses
2023-04-17,43,transportation,Taxi ride
2022-06-01,-3093,clothing,Fashion accessories
2023-02-26,-2922,healthcare,Healthcare services
2022-07-26,507,transportation,Public transportation fare
2022-10-12,4252,entertainment,Amusement park visit
2022-10-08,-4293,healthcare,Medical expenses
2022-09-16,3081,groceries,Grocery shopping
2023-05-20,202,income,Rent
2022-09-23,-85,bills,Internet bill
2022-10-30,3704,education,Books and materials
2023-03-22,1503,entertainment,Amusement park visit
2023-05-11,-4487,healthcare,Medical expenses
2023-01-15,-4113,clothing,Fashion accessories
2022-09-23,-257,groceries,Grocery shopping
2022-06-11,-4506,bills,Utility bill payment
2022-05-26,490,bills,Utility bill payment
2022-09-05,260,education,Online course payment
2023-05-16,-1646,income,Trade Market
2023-04-01,1558,clothing,Fashion accessories
2022-12-10,-851,bills,Phone bill
2022-11-12,4628,healthcare,Pharmacy purchase
2022-08-26,-3840,clothing,Fashion accessories
2022-12-05,4905,transportation,Gasoline expenses
2023-04-17,-4974,bills,Utility bill payment
2022-07-10,39,income,Rent
2022-08-14,38,entertainment,Concert tickets
2023-05-15,-353,income,Trade Market
2022-07-21,-3881,healthcare,Medical expenses
2022-11-11,4397,bills,Utility bill payment
2022-10-16,-4746,bills,Phone bill
2022-07-30,621,clothing,Fashion accessories
2022-08-03,-343,entertainment,Concert tickets
2022-06-26,-2491,entertainment,Concert tickets
2022-06-29,2066,groceries,Grocery shopping
2022-07-07,4410,income,Trade Market
2023-01-20,3137,clothing,Fashion accessories
2023-02-13,-2100,groceries,Supermarket purchase
2023-05-13,-3139,healthcare,Medical expenses
2023-01-14,-1645,entertainment,Movie tickets
2023-05-07,-4027,groceries,Grocery shopping
2022-11-14,3692,transportation,Taxi ride
2022-10-19,3852,clothing,Fashion accessories
2023-03-13,-3518,groceries,Food expenses
2023-04-10,2684,bills,Utility bill payment
2022-08-23,-2922,education,Tuition fees
2022-06-02,1931,education,Books and materials
2023-04-26,2644,transportation,Gasoline expenses
2022-09-17,4532,education,Books and materials
2022-09-05,-4080,education,Books and materials
2022-07-16,-410,education,Tuition fees
2023-04-13,3818,groceries,Supermarket purchase
2022-05-28,1211,clothing,Fashion accessories
2022-09-15,518,clothing,Fashion accessories
2022-11-07,-1017,transportation,Taxi ride
2022-11-08,-4518,education,Tuition fees
2023-04-19,-2843,groceries,Supermarket purchase
2023-03-16,-3538,transportation,Gasoline expenses
2023-02-15,3315,groceries,Supermarket purchase
2022-06-27,583,groceries,Supermarket purchase
2022-08-06,-1764,income,Rent
2023-03-14,1288,bills,Phone bill
2023-04-10,3577,entertainment,Amusement park visit
2022-07-13,3625,groceries,Supermarket purchase
2022-09-02,-1425,healthcare,Medical expenses
2023-04-14,4065,clothing,Shoe shopping
2022-07-28,-469,healthcare,Healthcare services
2023-01-13,-231,transportation,Public transportation fare
2023-05-21,-2010,healthcare,Medical expenses
2022-09-17,-1207,bills,Phone bill
2022-11-16,-1208,education,Online course payment
2023-01-14,-1244,entertainment,Concert tickets
2022-08-08,-4416,education,Books and materials
2022-07-14,-939,groceries,Food expenses
2023-03-10,-3650,bills,Internet bill
2023-04-01,4932,education,Online course payment
2022-09-16,-3251,bills,Phone bill
2022-12-05,595,groceries,Food expenses
2023-01-31,3970,income,Trade Market
2023-02-23,3837,transportation,Gasoline expenses
2023-04-23,-3819,education,Tuition fees
2023-05-14,-777,entertainment,Concert tickets
2022-11-01,-4729,groceries,Grocery shopping
2023-02-03,4739,healthcare,Medical expenses
2022-05-30,-4484,clothing,Clothing purchase
2022-06-22,-1078,clothing,Shoe shopping
2023-04-17,-81,bills,Internet bill
2022-07-14,-1159,transportation,Public transportation fare
2022-07-18,1228,education,Books and materials
2022-07-23,3099,entertainment,Amusement park visit
2022-11-21,1452,bills,Utility bill payment
2022-06-22,3544,healthcare,Pharmacy purchase
2023-05-25,4463,education,Books and materials
2023-04-09,616,income,Rent
2023-01-22,4851,education,Tuition fees
2023-02-27,-3187,transportation,Taxi ride
2022-09-01,-3878,income,Trade Market
2022-11-06,4316,healthcare,Healthcare services
2023-02-01,-3145,transportation,Gasoline expenses
2023-04-22,-465,bills,Utility bill payment
2023-01-03,2941,clothing,Clothing purchase
2022-07-07,3820,bills,Utility bill payment
2022-08-01,3346,education,Books and materials
2022-08-19,721,transportation,Public transportation fare
2022-08-29,-129,income,Rent
2023-04-03,3582,income,salary
2022-06-27,-4783,education,Books and materials
2022-10-23,3517,entertainment,Concert tickets
2022-11-04,857,healthcare,Medical expenses
2022-05-31,-352,bills,Phone bill
2023-04-06,-2147,groceries,Supermarket purchase
2022-05-28,-2572,bills,Utility bill payment
2023-01-12,3352,bills,Utility bill payment
2022-09-01,-4601,income,salary
2022-11-08,-2685,clothing,Clothing purchase
2022-07-15,4636,transportation,Public transportation fare
2022-12-22,-1117,education,Online course payment
2023-02-15,4736,income,salary
2022-12-09,3810,clothing,Clothing purchase
2022-07-28,-3045,groceries,Food expenses
2023-04-14,-2355,groceries,Grocery shopping
2023-04-07,-4792,education,Tuition fees
2023-03-21,1745,entertainment,Amusement park visit
2022-09-06,2631,transportation,Taxi ride
2023-01-22,2838,bills,Internet bill
2022-12-14,3264,transportation,Gasoline expenses
2023-02-02,2305,bills,Phone bill
2023-01-29,326,clothing,Shoe shopping
2022-09-10,659,clothing,Fashion accessories
2022-08-03,4669,groceries,Food expenses
2023-03-12,-1270,education,Books and materials
2022-05-28,-339,entertainment,Movie tickets
2023-02-02,1330,healthcare,Healthcare services
2022-10-05,-4429,education,Books and materials
2022-09-24,-91,transportation,Gasoline expenses
2022-06-20,-3636,transportation,Public transportation fare
2022-07-31,-2181,bills,Phone bill
2023-05-01,-2404,entertainment,Amusement park visit
2022-10-06,-2497,clothing,Fashion accessories
2022-06-29,4433,clothing,Shoe shopping
2022-09-23,-1551,bills,Utility bill payment
2022-06-05,-559,clothing,Shoe shopping
2023-03-23,-3749,income,salary
2023-05-04,-3294,education,Books and materials
2022-07-30,4201,groceries,Food expenses
2022-11-30,-347,clothing,Fashion accessories
2023-03-15,3380,groceries,Food expenses
2023-01-18,4821,entertainment,Amusement park visit
2022-11-11,-135,clothing,Shoe shopping
2023-05-23,-2672,entertainment,Movie tickets
2022-10-15,-589,education,Books and materials
2022-06-05,2895,groceries,Supermarket purchase
2023-03-17,2272,bills,Utility bill payment
2022-12-06,-798,education,Books and materials
2023-02-08,-4968,education,Books and materials
2022-12-08,-2065,groceries,Food expenses
2023-03-12,1858,entertainment,Concert tickets
2022-08-28,3817,healthcare,Medical expenses
2022-05-30,1590,education,Online course payment
2022-07-18,2450,healthcare,Healthcare services
2023-01-16,4961,clothing,Shoe shopping
2023-03-04,3980,income,Trade Market
2023-04-08,2001,transportation,Taxi ride
2022-08-29,3973,transportation,Taxi ride
2023-05-05,1223,income,Trade Market
2022-10-01,-1945,bills,Utility bill payment
2022-08-01,3679,income,salary
2023-03-11,-1652,groceries,Supermarket purchase
2023-03-25,1844,clothing,Fashion accessories
2022-11-30,3474,transportation,Public transportation fare
2022-09-25,-1300,groceries,Supermarket purchase
2023-01-05,-3973,healthcare,Healthcare services
2022-10-27,4394,healthcare,Healthcare services
2022-09-13,2277,bills,Utility bill payment
2022-07-29,-4752,clothing,Shoe shopping
2022-07-09,1499,clothing,Fashion accessories
2023-05-07,-3398,bills,Utility bill payment
2022-06-14,-2587,transportation,Taxi ride
2022-06-15,-3184,transportation,Gasoline expenses
2022-10-29,-4786,bills,Utility bill payment
2023-04-27,2349,education,Online course payment
2022-11-03,-3783,clothing,Clothing purchase
2022-11-30,706,entertainment,Movie tickets
2022-10-18,-1366,income,Trade Market
2022-12-28,-4544,income,Trade Market
2023-04-07,-2532,healthcare,Pharmacy purchase
2022-08-11,335,education,Online course payment
2023-02-22,-4360,bills,Utility bill payment
2022-07-17,988,transportation,Gasoline expenses
2022-11-29,-256,clothing,Fashion accessories
2022-09-25,-4366,groceries,Grocery shopping
2023-04-05,-1601,income,Rent
2023-01-05,1973,groceries,Food expenses
2022-10-21,-4403,groceries,Grocery shopping
2022-08-18,972,income,Rent
2022-10-20,2389,bills,Phone bill
2022-11-28,1893,clothing,Fashion accessories
2022-06-13,-2992,groceries,Food expenses
2023-05-23,-282,bills,Internet bill
2023-04-26,-159,entertainment,Concert tickets
2022-09-13,1161,healthcare,Medical expenses
2023-01-25,3603,groceries,Grocery shopping
2022-10-14,1222,income,Trade Market
2023-05-12,-981,transportation,Gasoline expenses
2022-12-16,-660,clothing,Clothing purchase
2023-01-11,-4270,education,Books and materials
2022-06-04,-442,transportation,Public transportation fare
2022-10-01,673,income,Trade Market
2022-08-14,-1289,income,salary
2022-12-03,-1568,education,Tuition fees
2022-09-05,4959,groceries,Grocery shopping
2023-03-15,-1529,clothing,Clothing purchase
2023-05-01,2888,groceries,Supermarket purchase
2022-06-23,2750,transportation,Gasoline expenses
2022-09-19,-3504,education,Online course payment
2022-06-24,-63,entertainment,Amusement park visit
2022-08-12,3830,bills,Phone bill
2022-08-18,-833,groceries,Food expenses
2022-10-30,999,clothing,Clothing purchase
2022-12-25,747,bills,Utility bill payment
2023-03-08,1125,entertainment,Amusement park visit
2023-03-30,4053,bills,Utility bill payment
2022-07-12,-4894,bills,Internet bill
2022-09-08,2196,groceries,Supermarket purchase
2022-08-16,412,bills,Phone bill
2022-08-07,3725,entertainment,Amusement park visit
2022-07-16,-429,transportation,Public transportation fare
2023-02-09,-4498,clothing,Shoe shopping
2023-04-13,161,bills,Phone bill
2023-05-25,-2066,transportation,Gasoline expenses
2022-08-16,3019,entertainment,Amusement park visit
2022-07-02,539,healthcare,Medical expenses
2022-09-02,271,transportation,Public transportation fare
2023-01-03,-2724,income,Rent
2022-07-18,4174,healthcare,Healthcare services
2022-05-28,-4992,groceries,Grocery shopping
2023-02-01,-763,transportation,Taxi ride
2022-10-28,3827,healthcare,Healthcare services
2022-08-03,306,bills,Phone bill
2022-12-05,3129,transportation,Taxi ride
2022-05-27,-4005,entertainment,Concert tickets
2022-12-27,2866,healthcare,Medical expenses
2022-06-03,-2674,groceries,Supermarket purchase
2023-02-17,3279,bills,Utility bill payment
2022-09-10,4816,entertainment,Movie tickets
2022-12-23,3198,income,Rent
2022-08-25,754,clothing,Clothing purchase
2023-05-20,975,income,salary
2022-11-02,4229,healthcare,Healthcare services
2022-06-29,-1740,groceries,Food expenses
2022-12-31,-2349,transportation,Taxi ride
2022-06-18,4735,groceries,Supermarket purchase
2022-11-26,3865,income,Rent
2022-11-22,2916,transportation,Gasoline expenses
2023-02-07,835,education,Tuition fees
2022-10-23,1462,transportation,Gasoline expenses
2023-03-30,-4600,income,salary
2022-12-15,-2356,groceries,Grocery shopping
2023-01-20,-3020,transportation,Gasoline expenses
2022-12-18,2637,transportation,Taxi ride
2022-07-13,-676,healthcare,Pharmacy purchase
2023-02-12,2924,groceries,Grocery shopping
2022-06-12,3709,healthcare,Medical expenses
2023-05-06,1369,transportation,Public transportation fare
2023-02-23,4943,education,Online course payment
2022-08-20,-4072,clothing,Fashion accessories
2022-08-23,-3084,transportation,Taxi ride
2023-04-09,-893,transportation,Taxi ride
2023-01-29,-1647,transportation,Gasoline expenses
2022-07-15,-4585,entertainment,Movie tickets
2023-03-12,-2891,transportation,Gasoline expenses
2022-10-05,-3783,clothing,Fashion accessories
2023-03-11,-867,clothing,Fashion accessories
2022-12-24,240,bills,Utility bill payment
2023-05-22,-2727,healthcare,Medical expenses
2023-02-26,1782,income,Rent
2023-04-20,1188,groceries,Food expenses
2022-06-09,3308,bills,Phone bill
2023-02-09,4592,entertainment,Concert tickets
2023-01-02,-3036,bills,Phone bill
2022-06-24,-1599,transportation,Gasoline expenses
2023-04-20,1605,clothing,Fashion accessories
2022-06-23,1675,income,Trade Market
2022-12-19,-1201,income,salary
2022-07-17,-989,income,salary
2023-01-19,-3234,clothing,Clothing purchase
2022-11-30,-1558,education,Tuition fees
2022-11-01,-2148,groceries,Food expenses
2022-08-17,-3900,healthcare,Healthcare services
2023-01-31,4522,clothing,Clothing purchase
2023-01-02,3896,clothing,Fashion accessories
2022-11-14,4550,transportation,Public transportation fare
2022-08-03,1230,healthcare,Medical expenses
2022-07-31,-4339,transportation,Taxi ride
2023-01-01,-1195,bills,Internet bill
2023-01-23,-2139,education,Online course payment
2023-05-19,-72,transportation,Public transportation fare
2022-10-16,2057,education,Books and materials
2023-04-20,752,clothing,Fashion accessories
2022-11-04,-923,healthcare,Healthcare services
2022-08-12,2850,education,Tuition fees
2023-03-17,-1749,entertainment,Movie tickets
2023-01-12,-4925,education,Tuition fees
2023-02-25,1265,entertainment,Concert tickets
2023-03-02,-3205,healthcare,Medical expenses
2023-02-11,3889,entertainment,Movie tickets
2022-07-02,2278,transportation,Public transportation fare
2022-06-30,-1812,income,salary
2023-03-16,-3868,income,Trade Market
2023-04-02,4526,entertainment,Movie tickets
2023-01-28,-453,bills,Internet bill
2022-11-10,4453,healthcare,Medical expenses
2022-08-11,3605,healthcare,Medical expenses
2023-03-07,3981,bills,Utility bill payment
2022-12-01,-3137,education,Online course payment
2022-12-15,4602,entertainment,Concert tickets
2023-01-31,-2349,groceries,Grocery shopping
2022-06-24,-3640,groceries,Food expenses
2022-09-22,-1354,bills,Utility bill payment
2022-09-21,-2706,groceries,Food expenses
2023-03-26,959,entertainment,Amusement park visit
2023-01-26,-3645,entertainment,Concert tickets
2022-12-11,3544,groceries,Food expenses
2022-08-21,-1233,transportation,Gasoline expenses
2022-08-23,4850,clothing,Shoe shopping
2022-10-02,-4246,clothing,Fashion accessories
2023-05-05,2114,transportation,Taxi ride
2023-04-03,2449,income,salary
2023-04-15,-1900,bills,Utility bill payment
2022-08-17,4069,education,Books and materials
2022-09-01,1269,bills,Internet bill
2022-10-02,1513,clothing,Fashion accessories
2022-11-25,-66,healthcare,Healthcare services
2023-03-13,1856,bills,Phone bill
2022-10-28,-1999,clothing,Fashion accessories
2022-12-31,-1694,healthcare,Healthcare services
2023-04-22,2180,bills,Internet bill
2022-11-25,-3632,clothing,Fashion accessories
2023-03-19,3767,bills,Phone bill
2022-11-05,4957,income,Trade Market
2022-06-20,-720,clothing,Fashion accessories
2023-03-17,-611,education,Books and materials
2022-10-08,4080,groceries,Food expenses
2023-05-11,3291,groceries,Grocery shopping
2022-08-11,-2007,entertainment,Amusement park visit
2023-01-30,-2057,bills,Internet bill
2022-12-02,1406,healthcare,Medical expenses
2023-01-27,-3699,transportation,Gasoline expenses
2023-04-13,-3887,healthcare,Healthcare services
2022-12-21,-2870,healthcare,Healthcare services
2022-12-07,-1736,income,salary
2023-01-24,-4759,transportation,Gasoline expenses
2022-09-03,-4879,income,salary
2022-08-11,2891,bills,Phone bill
2022-11-04,3493,entertainment,Amusement park visit
2023-04-30,-4749,clothing,Shoe shopping
2022-11-25,1471,clothing,Clothing purchase
2022-07-07,-124,transportation,Gasoline expenses
2022-10-08,356,groceries,Grocery shopping
2023-03-22,-1646,income,Trade Market
2022-08-13,-3293,education,Online course payment
2022-12-02,-2692,entertainment,Amusement park visit
2023-02-12,-647,bills,Utility bill payment
2023-04-09,-2577,education,Tuition fees
2022-10-14,1084,entertainment,Concert tickets
2022-06-02,3634,transportation,Taxi ride
2022-08-04,563,income,Trade Market
2023-02-27,1061,income,Rent
2022-05-29,2682,groceries,Supermarket purchase
2022-11-13,4373,entertainment,Amusement park visit
2022-11-29,-134,income,Rent
2022-09-18,4711,bills,Internet bill
2022-10-07,-810,transportation,Gasoline expenses
2022-07-23,-1248,education,Tuition fees
2023-02-07,-681,groceries,Grocery shopping
2023-03-30,3261,bills,Utility bill payment
2022-11-18,4,bills,Utility bill payment
2022-09-05,4939,entertainment,Movie tickets
2022-12-20,270,groceries,Supermarket purchase
2023-05-15,3575,entertainment,Amusement park visit
2023-05-02,3209,clothing,Shoe shopping
2022-12-16,4165,income,Trade Market
2022-08-18,2846,groceries,Grocery shopping
2022-11-12,1506,clothing,Clothing purchase
2023-01-07,1524,bills,Phone bill
2023-04-09,2053,transportation,Gasoline expenses
2022-06-13,-3652,groceries,Grocery shopping
